                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58471,                0.63573,                 1.0651,                0.94058,                0.92674,                0.94927,                0.77636,                0.83315,                0.48732,                 1.2357,             0.00010983,             0.00010983,             0.00010983
                      2,                0.60471,                0.66184,                 1.0811,                0.90703,                0.88529,                 0.9394,                0.75316,                0.89204,                0.65389,                 1.2699,             0.00021771,             0.00021771,             0.00021771
                      3,                0.63994,                0.74514,                  1.104,                0.83996,                0.86364,                0.92862,                0.75404,                0.83179,                0.75005,                 1.2765,             0.00032245,             0.00032245,             0.00032245
                      4,                0.65694,                0.79016,                 1.1098,                0.82313,                0.82341,                0.89803,                0.70828,                0.92125,                0.75547,                 1.3684,             0.00031887,             0.00031887,             0.00031887
                      5,                0.64259,                0.76082,                 1.1115,                0.85028,                 0.8618,                0.92332,                0.78649,                0.65261,                 0.6154,                 1.0992,             0.00031887,             0.00031887,             0.00031887
                      6,                0.66332,                0.74643,                 1.1112,                 0.8754,                0.84561,                0.91431,                0.71273,                 0.9692,                0.70154,                 1.3326,             0.00031416,             0.00031416,             0.00031416
                      7,                0.65024,                0.74717,                 1.1027,                0.84745,                0.84586,                0.91237,                 0.7359,                0.86325,                0.72488,                 1.2664,             0.00030945,             0.00030945,             0.00030945
                      8,                0.62634,                0.69551,                 1.0889,                0.83999,                0.86591,                0.91823,                  0.713,                0.97225,                0.67369,                 1.3663,             0.00030474,             0.00030474,             0.00030474
                      9,                0.62801,                0.67966,                 1.0869,                0.82975,                0.87111,                0.90653,                0.68823,                 1.0451,                0.65486,                 1.4294,             0.00030003,             0.00030003,             0.00030003
                     10,                0.63976,                0.66728,                 1.0965,                0.87864,                0.91478,                0.93858,                0.77518,                0.79309,                0.58968,                 1.2071,             0.00029532,             0.00029532,             0.00029532
                     11,                 0.6168,                0.65554,                  1.089,                0.86349,                0.87549,                0.92574,                0.73714,                0.89952,                0.65742,                 1.3246,             0.00029061,             0.00029061,             0.00029061
                     12,                 0.6164,                0.65736,                 1.0881,                0.88373,                0.89831,                0.93436,                0.75031,                 0.8902,                0.56761,                 1.3123,              0.0002859,              0.0002859,              0.0002859
                     13,                0.61815,                0.63427,                 1.0865,                  0.854,                0.83744,                0.91646,                0.73786,                0.89826,                0.68268,                 1.3048,             0.00028119,             0.00028119,             0.00028119
                     14,                0.61109,                0.64632,                 1.0929,                0.85301,                0.83605,                0.92738,                0.73745,                0.86305,                0.74209,                 1.2854,             0.00027649,             0.00027649,             0.00027649
                     15,                0.61735,                0.62573,                 1.0895,                0.85522,                0.84521,                  0.918,                0.72981,                0.89547,                0.71722,                 1.2935,             0.00027178,             0.00027178,             0.00027178
                     16,                0.61173,                0.61042,                  1.089,                0.90327,                0.83587,                0.90315,                0.72233,                0.89226,                0.66231,                  1.291,             0.00026707,             0.00026707,             0.00026707
                     17,                0.62072,                0.61114,                 1.0915,                0.86107,                0.79259,                0.89952,                0.71784,                0.87067,                 0.7527,                 1.2959,             0.00026236,             0.00026236,             0.00026236
                     18,                0.59488,                0.59189,                 1.0676,                0.86734,                0.89214,                0.92359,                0.72576,                0.93838,                 0.6333,                 1.3734,             0.00025765,             0.00025765,             0.00025765
                     19,                0.58418,                  0.573,                 1.0675,                0.89528,                0.87884,                0.93362,                0.72728,                0.94768,                0.63936,                  1.355,             0.00025294,             0.00025294,             0.00025294
                     20,                0.58881,                0.58263,                  1.067,                0.91709,                 0.8392,                0.92092,                0.71512,                  0.951,                0.67701,                  1.361,             0.00024823,             0.00024823,             0.00024823
                     21,                0.60015,                0.59903,                 1.0805,                0.90719,                 0.8509,                0.92171,                0.75197,                 0.8339,                 0.6039,                 1.2464,             0.00024352,             0.00024352,             0.00024352
                     22,                0.60716,                0.60274,                 1.0815,                0.86686,                0.87747,                0.93426,                0.74873,                0.88561,                0.58895,                 1.2807,             0.00023881,             0.00023881,             0.00023881
                     23,                0.60145,                0.56834,                 1.0738,                0.88782,                0.86922,                 0.9139,                0.71863,                0.93186,                0.60956,                 1.3675,              0.0002341,              0.0002341,              0.0002341
                     24,                0.59448,                0.57517,                 1.0781,                0.87594,                0.84632,                0.91863,                0.75322,                0.81687,                0.66425,                 1.2681,             0.00022939,             0.00022939,             0.00022939
                     25,                0.58359,                0.55156,                 1.0641,                 0.9064,                0.82157,                0.90839,                0.72032,                0.92365,                0.66603,                 1.3485,             0.00022468,             0.00022468,             0.00022468
                     26,                0.58413,                0.53215,                 1.0659,                0.88645,                0.84192,                0.93585,                0.74786,                0.88403,                0.68584,                 1.3119,             0.00021997,             0.00021997,             0.00021997
                     27,                0.57709,                0.54921,                 1.0634,                0.89355,                0.79987,                0.91971,                0.75538,                0.82213,                0.64956,                 1.2374,             0.00021526,             0.00021526,             0.00021526
                     28,                0.56987,                0.52529,                 1.0635,                0.83712,                0.85322,                0.91342,                0.72851,                0.91711,                0.73537,                 1.3288,             0.00021055,             0.00021055,             0.00021055
                     29,                 0.5689,                0.51331,                 1.0553,                0.88307,                0.83215,                0.92286,                0.72301,                0.94198,                0.62498,                 1.3526,             0.00020584,             0.00020584,             0.00020584
                     30,                0.58097,                0.52865,                  1.069,                0.90031,                0.81762,                0.91441,                0.73826,                0.87029,                0.63579,                 1.2835,             0.00020113,             0.00020113,             0.00020113
                     31,                0.56535,                0.51444,                 1.0551,                0.81224,                0.90183,                0.93112,                0.76893,                0.82212,                0.66067,                 1.2472,             0.00019642,             0.00019642,             0.00019642
                     32,                0.56211,                0.49538,                 1.0468,                0.91206,                0.90543,                0.95186,                0.77095,                0.86521,                0.53186,                 1.2992,             0.00019171,             0.00019171,             0.00019171
                     33,                0.55688,                0.49371,                 1.0621,                0.90403,                0.84772,                 0.9181,                0.72348,                0.94192,                0.58925,                  1.383,               0.000187,               0.000187,               0.000187
                     34,                 0.5523,                0.48548,                 1.0414,                0.90867,                0.91398,                0.93116,                0.76231,                0.80995,                0.50665,                 1.2763,             0.00018229,             0.00018229,             0.00018229
                     35,                0.54941,                0.48062,                 1.0413,                0.86473,                0.91653,                0.96348,                0.76973,                0.88021,                0.57818,                 1.3168,             0.00017758,             0.00017758,             0.00017758
                     36,                 0.5507,                0.47968,                 1.0501,                0.90327,                 0.8705,                0.92578,                0.74669,                0.87846,                 0.5853,                 1.2869,             0.00017287,             0.00017287,             0.00017287
                     37,                0.53828,                0.47785,                 1.0454,                0.85063,                0.90708,                0.93669,                0.74696,                0.87586,                0.58452,                 1.2987,             0.00016817,             0.00016817,             0.00016817
                     38,                0.53531,                0.47787,                 1.0455,                0.84904,                0.87954,                0.91601,                0.75244,                0.82836,                0.60703,                 1.2387,             0.00016346,             0.00016346,             0.00016346
                     39,                0.52983,                0.44907,                 1.0374,                0.88764,                0.87539,                0.92378,                0.73315,                0.92527,                0.59994,                 1.3475,             0.00015875,             0.00015875,             0.00015875
                     40,                0.52834,                0.44949,                  1.029,                0.85281,                0.87718,                0.92644,                0.74559,                0.86397,                0.60543,                 1.3141,             0.00015404,             0.00015404,             0.00015404
                     41,                0.53394,                0.45999,                  1.039,                0.89339,                0.85065,                0.91841,                0.75118,                0.85585,                0.60176,                 1.2884,             0.00014933,             0.00014933,             0.00014933
                     42,                0.51793,                0.44241,                 1.0326,                 0.9007,                0.82996,                0.92308,                 0.7444,                0.84443,                0.60508,                 1.3144,             0.00014462,             0.00014462,             0.00014462
                     43,                0.51496,                0.43071,                 1.0289,                0.87513,                0.85583,                0.90154,                0.73542,                0.84348,                0.68869,                  1.271,             0.00013991,             0.00013991,             0.00013991
                     44,                0.51943,                0.42816,                 1.0365,                0.89304,                0.84725,                0.92492,                0.76476,                0.81319,                0.59292,                 1.2493,              0.0001352,              0.0001352,              0.0001352
                     45,                0.52125,                0.43148,                 1.0282,                0.89185,                0.86871,                0.92363,                0.74999,                0.84903,                0.58424,                  1.318,             0.00013049,             0.00013049,             0.00013049
                     46,                0.50706,                0.41593,                 1.0294,                0.88563,                0.86127,                 0.9225,                0.74744,                0.85975,                0.61499,                 1.3085,             0.00012578,             0.00012578,             0.00012578
                     47,                0.50109,                0.40467,                 1.0226,                0.90957,                0.85198,                0.93198,                0.75892,                0.84767,                0.58627,                 1.3072,             0.00012107,             0.00012107,             0.00012107
                     48,                0.49819,                0.39926,                 1.0279,                0.91983,                0.85506,                0.90713,                0.73657,                0.87313,                 0.6164,                 1.3129,             0.00011636,             0.00011636,             0.00011636
                     49,                0.49501,                0.38959,                 1.0148,                0.90029,                0.86233,                 0.9285,                0.76683,                0.78446,                0.57197,                 1.2292,             0.00011165,             0.00011165,             0.00011165
                     50,                0.48923,                0.38208,                 1.0185,                0.88073,                0.88516,                0.93026,                0.75636,                0.84259,                0.55911,                 1.2981,             0.00010694,             0.00010694,             0.00010694
                     51,                0.49004,                0.38908,                 1.0148,                0.91626,                0.86547,                0.92764,                0.73091,                0.93836,                0.55666,                 1.4277,             0.00010223,             0.00010223,             0.00010223
                     52,                0.47718,                0.37885,                 1.0102,                  0.902,                0.91817,                0.95568,                0.77045,                 0.8591,                0.50302,                 1.3301,             9.7521e-05,             9.7521e-05,             9.7521e-05
                     53,                 0.4857,                0.38161,                 1.0091,                0.89398,                0.92464,                0.96665,                0.78417,                0.87139,                0.51337,                 1.2998,             9.2812e-05,             9.2812e-05,             9.2812e-05
                     54,                0.47574,                0.36646,                 1.0072,                  0.885,                0.89144,                0.93756,                 0.7528,                 0.8958,                0.56553,                 1.3393,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     55,                0.47039,                0.37367,                 1.0032,                0.88986,                0.87545,                0.93012,                0.76235,                0.82674,                 0.5973,                 1.2931,             8.3393e-05,             8.3393e-05,             8.3393e-05
                     56,                0.48175,                0.37714,                 1.0065,                0.92603,                0.89438,                0.93148,                0.74054,                0.90845,                0.48997,                 1.3647,             7.8683e-05,             7.8683e-05,             7.8683e-05
                     57,                0.46363,                0.35776,                0.99962,                0.89021,                0.88539,                0.93884,                0.76799,                0.83914,                0.52261,                 1.2892,             7.3974e-05,             7.3974e-05,             7.3974e-05
                     58,                0.46541,                0.36253,                 1.0055,                0.90291,                0.85655,                0.92347,                0.75205,                0.86981,                0.56058,                 1.3273,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     59,                0.45962,                0.35257,                 1.0005,                0.85418,                0.90155,                0.93835,                0.77047,                0.83698,                 0.5445,                 1.2951,             6.4554e-05,             6.4554e-05,             6.4554e-05
                     60,                0.45218,                0.34873,                0.99694,                 0.8555,                0.87618,                0.94203,                0.77005,                 0.8287,                0.57098,                 1.3001,             5.9845e-05,             5.9845e-05,             5.9845e-05
                     61,                0.32671,                0.19069,                0.91605,                0.89975,                0.83964,                0.93215,                 0.7786,                0.77037,                0.56284,                 1.2406,             5.5135e-05,             5.5135e-05,             5.5135e-05
                     62,                0.32168,                0.19024,                0.91423,                 0.8749,                0.86852,                0.93189,                0.77664,                0.75303,                0.53803,                 1.2057,             5.0426e-05,             5.0426e-05,             5.0426e-05
                     63,                0.31339,                0.18329,                0.90621,                0.92005,                0.85638,                0.91983,                0.75979,                0.80391,                0.54574,                 1.2753,             4.5716e-05,             4.5716e-05,             4.5716e-05
                     64,                0.30806,                0.17889,                0.90851,                0.88366,                0.87151,                0.92907,                0.77276,                0.79866,                0.56001,                 1.2699,             4.1007e-05,             4.1007e-05,             4.1007e-05
                     65,                0.30441,                0.17639,                 0.8974,                0.89725,                0.87475,                0.92785,                0.75762,                 0.8093,                0.53584,                 1.2982,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     66,                0.30163,                0.17339,                  0.895,                0.90939,                0.86698,                0.93653,                 0.7645,                0.81948,                0.54083,                 1.2974,             3.1587e-05,             3.1587e-05,             3.1587e-05
                     67,                0.29718,                0.17041,                0.88661,                0.86959,                0.89586,                0.93531,                0.76792,                0.80756,                0.53192,                 1.2954,             2.6878e-05,             2.6878e-05,             2.6878e-05
                     68,                0.28825,                0.16501,                0.88725,                0.84874,                 0.8961,                0.93828,                0.77506,                0.79824,                0.53866,                 1.2717,             2.2168e-05,             2.2168e-05,             2.2168e-05
                     69,                0.28711,                0.16456,                0.88969,                0.87179,                0.89021,                0.93758,                0.78088,                0.79003,                 0.5433,                 1.2613,             1.7459e-05,             1.7459e-05,             1.7459e-05
                     70,                0.28793,                0.16653,                0.88851,                0.87527,                0.88632,                0.93382,                0.77289,                0.79632,                0.56042,                 1.2722,             1.2749e-05,             1.2749e-05,             1.2749e-05
